"player","position","game_num","rush_att","rush_yds","rush_yds_per_att","rush_td","targets","rec","rec_yds","rec_yds_per_rec","rec_td","catch_pct","rec_yds_per_tgt","pass_cmp","pass_att","pass_cmp_perc","pass_yds","pass_td","pass_int","pass_rating","pass_sacked","pass_sacked_yds","pass_yds_per_att","pass_adj_yds_per_att","two_pt_md","all_td","scoring","sacks","tackles_solo","tackles_assists","kick_ret","kick_ret_yds","kick_ret_yds_per_ret","kick_ret_td","punt_ret","punt_ret_yds","punt_ret_yds_per_ret","punt_ret_td","gs","def_int","def_int_yds","def_int_td","safety_md","year"
"Joseph Addai","RB","1","17","42","2.47","1","6","5","35","7.00","0","83.3%","5.83","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"1","6","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","2","6","32","5.33","0","1","1","7","7.00","0","100.0%","7.00","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"0","0","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","3","13","63","4.85","0","4","3","8","2.67","1","75.0%","2.00","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"1","6","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","4","12","46","3.83","1","7","7","50","7.14","0","100.0%","7.14","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"1","6","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","5","14","27","1.93","1","10","10","53","5.30","0","100.0%","5.30","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"1","6","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","6","20","64","3.20","1","1","1","3","3.00","0","100.0%","3.00","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"1","6","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","7","20","62","3.10","0","2","2","4","2.00","0","100.0%","2.00","1","1","100.00","22","1","0","158.3","0","0","22.00","42.00",NA,"0","0","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","8","14","63","4.50","1","10","5","49","9.80","1","50.0%","4.90","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"2","12","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","9","10","41","4.10","1","3","2","27","13.50","1","66.7%","9.00","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"2","12","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","10","19","74","3.89","1","1","1","7","7.00","0","100.0%","7.00","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"1","6","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","11","15","69","4.60","0","4","3","13","4.33","0","75.0%","3.25","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"0","0","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","12","21","79","3.76","2","3","3","17","5.67","0","100.0%","5.67","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"2","12","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","13","16","67","4.19","0","8","5","49","9.80","0","62.5%","6.13","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"0","0","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","14","16","59","3.69","0","3","3","14","4.67","0","100.0%","4.67","0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"0","0","0.0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","15","6","40","6.67","1","0","0","0",NA,"0","0.0%",NA,"0","0",NA,"0","0","0",NA,"0",NA,NA,NA,NA,"1","6","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB",NA,"219","828","3.78","10","63","51","336","6.59","3","81.0%","5.33","1","1","100.00","22","1","0","158.3","0","0","22.00","42.00",NA,"13","78","0.0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","17","11","23","2.09","0","3","3","14","4.67","0","100.0%","4.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","18","16","80","5.00","0","1","1","13","13.00","0","100.0%","13.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB","19","13","77","5.92","1","7","7","58","8.29","0","100.0%","8.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Joseph Addai","RB",NA,"40","180","4.50","1","11","11","85","7.73","0","100.0%","7.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","1",NA,NA,NA,NA,"0","0","0",NA,"0","0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","2",NA,NA,NA,NA,"0","0","0",NA,"0","0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","3",NA,NA,NA,NA,"2","0","0",NA,"0","0.0%","0.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","4",NA,NA,NA,NA,"5","1","26","26.00","0","20.0%","5.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","6",NA,NA,NA,NA,"7","4","30","7.50","0","57.1%","4.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
"Sam Aiken","WR","7",NA,NA,NA,NA,"3","2","66","33.00","1","66.7%","22.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","0.0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009
