"player","position","game_num","week_num","gs","rush_att","rush_yds","rush_yds_per_att","rush_td","targets","rec","rec_yds","rec_yds_per_rec","rec_td","catch_pct","rec_yds_per_tgt","pass_cmp","pass_att","pass_cmp_perc","pass_yds","pass_td","pass_int","pass_rating","pass_sacked","pass_sacked_yds","pass_yds_per_att","pass_adj_yds_per_att","two_pt_md","all_td","scoring","fumbles","fumbles_lost","fumbles_forced","fumbles_rec","fumbles_rec_yds","fumbles_rec_td","offense","off_pct","defense","def_pct","special_teams","st_pct","kick_ret","kick_ret_yds","kick_ret_yds_per_ret","kick_ret_td","punt_ret","punt_ret_yds","punt_ret_yds_per_ret","punt_ret_td","sacks","tackles_solo","tackles_assists","tackles_combined","tackles_loss","qb_hits","safety_md","def_int","def_int_yds","def_int_td","pass_defended","year"
"Ameer Abdullah","RB","1","1","0","2","8","4.00","0","0","0","0","0","0","0.0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","4","7%","0","0%","14","64%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","2","2","0","1","2","2.00","0","0","0","0","0","0","0.0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","7","11%","0","0%","19","66%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","3","3","0","0","0","0","0","1","0","0","0","0","0.0%","0.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","1","2%","0","0%","14","56%","1","25","25.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","4","4","0","0","0","0","0","3","2","14","7.00","0","66.7%","4.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","7","12%","0","0%","15","75%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","5","5","0","3","24","8.00","0","0","0","0","0","0","0.0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","10","15%","0","0%","15","63%","1","33","33.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","6","6","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","6","8%","0","0%","18","62%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","7","7","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","1","1%","0","0%","18","60%","3","88","29.33","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","8","8","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","3","4%","0","0%","12","60%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","9","9","0","1","2","2.00","0","1","1","16","16.00","1","100.0%","16.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","0","0","0","0","0","0","8","11%","0","0%","24","71%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","10","10","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","5","7%","0","0%","14","56%","1","29","29.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","11","11","0","1","5","5.00","0","2","2","11","5.50","0","100.0%","5.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","1","0","0","0","0","8","13%","0","0%","18","64%","2","42","21.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","12","13","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","3","6%","0","0%","18","55%","2","41","20.50","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"Ameer Abdullah","RB","13","14","0","0","0","0","0","1","1","2","2.00","0","100.0%","2.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","6","8%","0","0%","16","59%","1","14","14.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
