"player","position","game_num","week_num","gs","rush_att","rush_yds","rush_yds_per_att","rush_td","targets","rec","rec_yds","rec_yds_per_rec","rec_td","catch_pct","rec_yds_per_tgt","two_pt_md","all_td","scoring","fumbles","fumbles_lost","fumbles_forced","fumbles_rec","fumbles_rec_yds","fumbles_rec_td","offense","off_pct","defense","def_pct","special_teams","st_pct","kick_ret","kick_ret_yds","kick_ret_yds_per_ret","kick_ret_td","punt_ret","punt_ret_yds","punt_ret_yds_per_ret","punt_ret_td","reason","pass_cmp","pass_att","pass_cmp_perc","pass_yds","pass_td","pass_int","pass_rating","pass_sacked","pass_sacked_yds","pass_yds_per_att","pass_adj_yds_per_att","sacks","tackles_solo","tackles_assists","tackles_combined","tackles_loss","qb_hits","safety_md","def_int","def_int_yds","def_int_td","pass_defended","year"
"Ameer Abdullah","RB","1","1","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,"2","4%","0","0%","17","65%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,2020
"Ameer Abdullah","RB","2","2","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,"1","2%","0","0%","17","68%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,2020
"Ameer Abdullah","RB","3","3","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,"0","0%","0","0%","21","58%","2","47","23.50","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","1","0","1","0","0",NA,NA,NA,NA,NA,2020
"Ameer Abdullah","RB","4","4","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,"0","0%","0","0%","20","63%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,2020
"Ameer Abdullah","RB","5","5","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,"1","1%","0","0%","15","60%","2","37","18.50","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","0","0","0","0","0",NA,NA,NA,NA,NA,2020
"Ameer Abdullah","RB","6","6","0","2","7","3.50","0","1","1","1","1.00","0","100.0%","1.00",NA,"0","0",NA,NA,NA,NA,NA,NA,"16","29%","0","0%","20","69%","3","73","24.33","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","0","0","0","0","0",NA,NA,NA,NA,NA,2020
"Ameer Abdullah","RB","7","8","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,"0","0%","0","0%","13","68%","1","9","9.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","0","0","0","0","0",NA,NA,NA,NA,NA,2020
"Ameer Abdullah","RB","8","9","0","0","0","0","0","1","1","22","22.00","1","100.0%","22.00",NA,"1","6",NA,NA,NA,NA,NA,NA,"1","2%","0","0%","18","60%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","0","0","0","0","0",NA,NA,NA,NA,NA,2020
"Ameer Abdullah","RB","9","10","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,"3","4%","0","0%","14","56%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,2020
"Ameer Abdullah","RB","10","11","0","0","0","0","0","0","0","0","0","0","0.0%","0",NA,"0","0",NA,NA,NA,NA,NA,NA,"0","0%","0","0%","11","42%","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,2020
