"player","position","game_num","week_num","gs","rush_att","rush_yds","rush_yds_per_att","rush_td","targets","rec","rec_yds","rec_yds_per_rec","rec_td","catch_pct","rec_yds_per_tgt","all_td","scoring","fumbles","fumbles_lost","fumbles_forced","fumbles_rec","fumbles_rec_yds","fumbles_rec_td","offense","off_pct","defense","def_pct","special_teams","st_pct","pass_cmp","pass_att","pass_cmp_perc","pass_yds","pass_td","pass_int","pass_rating","pass_sacked","pass_sacked_yds","pass_yds_per_att","pass_adj_yds_per_att","kick_ret","kick_ret_yds","kick_ret_yds_per_ret","kick_ret_td","punt_ret","punt_ret_yds","punt_ret_yds_per_ret","punt_ret_td","two_pt_md","sacks","tackles_solo","tackles_assists","tackles_combined","tackles_loss","qb_hits","status","reason","def_int","def_int_yds","def_int_td","pass_defended","year"
"Ameer Abdullah","RB","1","1","0","1","4","4.00","0","2","2","15","7.50","0","100.0%","7.50","0","0",NA,NA,NA,NA,NA,NA,"9","11%","0","0%","5","15%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"Ameer Abdullah","RB","2","2","0","0","0","0","0","1","0","0","0","0","0.0%","0.00","0","0",NA,NA,NA,NA,NA,NA,"1","2%","0","0%","19","53%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"Ameer Abdullah","RB","3","3","0","5","24","4.80","0","0","0","0","0","0","0.0%","0","0","0",NA,NA,NA,NA,NA,NA,"22","29%","0","0%","1","4%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"Ameer Abdullah","RB","4","4","0","0","0","0","0","1","1","2","2.00","0","100.0%","2.00","0","0",NA,NA,NA,NA,NA,NA,"5","7%","0","0%","7","32%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","26","26.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"Ameer Abdullah","RB","5","5","0","1","2","2.00","0","0","0","0","0","0","0.0%","0","0","0",NA,NA,NA,NA,NA,NA,"12","18%","0","0%","5","19%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","68","17.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"Ameer Abdullah","RB","6","6","0","0","0","0","0","0","0","0","0","0","0.0%","0","0","0",NA,NA,NA,NA,NA,NA,"0","0%","0","0%","7","20%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","68","34.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"Ameer Abdullah","RB","7","7","0","0","0","0","0","0","0","0","0","0","0.0%","0","0","0",NA,NA,NA,NA,NA,NA,"0","0%","0","0%","6","22%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","39","13.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"Ameer Abdullah","RB","8","8","0","8","31","3.88","0","5","3","35","11.67","0","60.0%","7.00","0","0",NA,NA,NA,NA,NA,NA,"22","30%","0","0%","3","12%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"Ameer Abdullah","RB","9","9","0","1","0","0.00","0","5","4","30","7.50","0","80.0%","6.00","0","0",NA,NA,NA,NA,NA,NA,"22","37%","0","0%","5","23%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","43","21.50","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"Ameer Abdullah","RB","10","10","0","9","24","2.67","0","4","4","27","6.75","0","100.0%","6.75","0","0",NA,NA,NA,NA,NA,NA,"16","21%","0","0%","3","12%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","26","26.00","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
