Team,Logo,Primary,Secondary
ARI,http://content.sportslogos.net/logos/7/177/thumbs/kwth8f1cfa2sch5xhjjfaof90.gif,#B11D3D,#FCC413
ATL,http://content.sportslogos.net/logos/7/173/thumbs/299.gif,#100107,#C72445
BAL,http://content.sportslogos.net/logos/7/153/thumbs/318.gif,#2C3089,#120300
BUF,http://content.sportslogos.net/logos/7/149/thumbs/n0fd1z6xmhigb0eej3323ebwq.gif,#04348F,#CE092E
CAR,http://content.sportslogos.net/logos/7/174/thumbs/f1wggq2k8ql88fe33jzhw641u.gif,#248FC5,#07080D
CHI,http://content.sportslogos.net/logos/7/169/thumbs/364.gif,#F36725,#081739
CIN,http://content.sportslogos.net/logos/7/154/thumbs/403.gif,#E95026,#04040B
CLE,http://content.sportslogos.net/logos/7/155/thumbs/15578552015.gif,#EA3625,#3C1209
DAL,http://content.sportslogos.net/logos/7/165/thumbs/406.gif,#05295D,#FCFEFB
DEN,http://content.sportslogos.net/logos/7/161/thumbs/9ebzja2zfeigaziee8y605aqp.gif,#0D2655,#E76F28
DET,http://content.sportslogos.net/logos/7/170/thumbs/17013982017.gif,#0575B4,#BFC2C2
GB,http://content.sportslogos.net/logos/7/171/thumbs/dcy03myfhffbki5d7il3.gif,#26453D,#D8B63C
HOU,http://content.sportslogos.net/logos/7/157/thumbs/570.gif,#05143E,#D4203B
IND,http://content.sportslogos.net/logos/7/158/thumbs/593.gif,#063A7B,#FCFEFB
JAC,http://content.sportslogos.net/logos/7/159/thumbs/15988562013.gif,#126172,#A6792C
KC,http://content.sportslogos.net/logos/7/162/thumbs/857.gif,#DF1741,#060606
LAC,http://content.sportslogos.net/logos/7/6446/thumbs/644624152017.gif,#04223D,#FCB513
LAR,http://content.sportslogos.net/logos/7/5941/thumbs/594179532017.gif,#042045,#FAFBFD
MIA,http://content.sportslogos.net/logos/7/150/thumbs/15041052013.gif,#048A99,#FC7400
MIN,http://content.sportslogos.net/logos/7/172/thumbs/17227042013.gif,#5A2B8D,#FBC72E
NE,http://content.sportslogos.net/logos/7/151/thumbs/y71myf8mlwlk8lbgagh3fd5e0.gif,#0B2241,#CD142B
NO,http://content.sportslogos.net/logos/7/175/thumbs/907.gif,#A57851,#050505
NYG,http://content.sportslogos.net/logos/7/166/thumbs/919.gif,#1B2D74,#9D0B37
NYJ,http://content.sportslogos.net/logos/7/152/thumbs/v7tehkwthrwefgounvi7znf5k.gif,#1C3A2F,#FCFEFB
LV,http://content.sportslogos.net/logos/7/163/thumbs/g9mgk6x3ge26t44cccm9oq1vl.gif,#A3A9A9,#060807
PHI,http://content.sportslogos.net/logos/7/167/thumbs/960.gif,#1B4847,#FCFEFB
PIT,http://content.sportslogos.net/logos/7/156/thumbs/970.gif,#060807,#F7BB05
SEA,http://content.sportslogos.net/logos/7/180/thumbs/pfiobtreaq7j0pzvadktsc6jv.gif,#071F42,#6AB842
SF,http://content.sportslogos.net/logos/7/179/thumbs/17994552009.gif,#B2182C,#B58C64
TB,http://content.sportslogos.net/logos/7/176/thumbs/17636702014.gif,#CB0B2D,#ED7F0C
TEN,http://content.sportslogos.net/logos/7/160/thumbs/1053.gif,#3E91D7,#042448
WAS,http://content.sportslogos.net/logos/7/168/thumbs/im5xz2q9bjbg44xep08bf5czq.gif,#55001A,#EFBB00
