"","Team","Player","Pos","Points","VOR","Rank","PosRank","YRank","VOY","YRankVOR","YRound"
"1","<img src=""http://content.sportslogos.net/logos/7/162/thumbs/857.gif"" height = 40></img>","Travis Kelce","TE(1)",223.4,106.31,7,1,18,11,1913.58,2
"2","<img src=""http://content.sportslogos.net/logos/7/153/thumbs/318.gif"" height = 40></img>","Mark Andrews","TE(2)",211.91,94.82,9,2,23,14,2180.86,2
"3","<img src=""http://content.sportslogos.net/logos/7/163/thumbs/g9mgk6x3ge26t44cccm9oq1vl.gif"" height = 40></img>","Darren Waller","TE(3)",166.7,49.61,26,3,52,26,2579.72,5
"4","<img src=""http://content.sportslogos.net/logos/7/179/thumbs/17994552009.gif"" height = 40></img>","George Kittle","TE(4)",161.1,44.01,34,4,46,12,2024.46,4
"5","<img src=""http://content.sportslogos.net/logos/7/173/thumbs/299.gif"" height = 40></img>","Kyle Pitts","TE(5)",156.77,39.68,42,5,42,0,1666.56,4
"6","<img src=""http://content.sportslogos.net/logos/7/165/thumbs/406.gif"" height = 40></img>","Dalton Schultz","TE(6)",145.92,28.83,54,6,69,15,1989.27,6
"7","<img src=""http://content.sportslogos.net/logos/7/167/thumbs/960.gif"" height = 40></img>","Dallas Goedert","TE(7)",135.01,17.92,66,7,81,15,1451.52,7
"8","<img src=""http://content.sportslogos.net/logos/7/170/thumbs/17013982017.gif"" height = 40></img>","TJ Hockenson","TE(8)",132.92,15.83,68,8,74,6,1171.42,7
"9","<img src=""http://content.sportslogos.net/logos/7/177/thumbs/kwth8f1cfa2sch5xhjjfaof90.gif"" height = 40></img>","Zach Ertz","TE(9)",120.78,3.69,79,9,107,28,394.83,9
"10","<img src=""http://content.sportslogos.net/logos/7/150/thumbs/15041052013.gif"" height = 40></img>","Mike Gesicki","TE(10)",120.3,3.21,80,10,124,44,398.04,11
"11","<img src=""http://content.sportslogos.net/logos/7/149/thumbs/n0fd1z6xmhigb0eej3323ebwq.gif"" height = 40></img>","Dawson Knox","TE(11)",117.99,0.9,82,11,84,2,75.6,7
"12","<img src=""http://content.sportslogos.net/logos/7/151/thumbs/y71myf8mlwlk8lbgagh3fd5e0.gif"" height = 40></img>","Hunter Henry","TE(12)",117.31,0.22,84,12,125,41,27.5,11
"13","<img src=""http://content.sportslogos.net/logos/7/156/thumbs/970.gif"" height = 40></img>","Pat Freiermuth","TE(13)",117.09,0,88,13,99,11,0,9
"14","<img src=""http://content.sportslogos.net/logos/7/180/thumbs/pfiobtreaq7j0pzvadktsc6jv.gif"" height = 40></img>","Noah Fant","TE(14)",115.31,-1.78,91,14,135,44,-240.3,12
"15","<img src=""http://content.sportslogos.net/logos/7/169/thumbs/364.gif"" height = 40></img>","Cole Kmet","TE(15)",114.69,-2.4,93,15,127,34,-304.8,11
"16","<img src=""http://content.sportslogos.net/logos/7/5941/thumbs/594179532017.gif"" height = 40></img>","Tyler Higbee","TE(16)",112.78,-4.31,95,16,141,46,-607.71,12
"17","<img src=""http://content.sportslogos.net/logos/7/161/thumbs/9ebzja2zfeigaziee8y605aqp.gif"" height = 40></img>","Albert Okwuegbunam","TE(17)",109.99,-7.1,100,17,115,15,-816.5,10
"18","<img src=""http://content.sportslogos.net/logos/7/155/thumbs/15578552015.gif"" height = 40></img>","David Njoku","TE(18)",106.97,-10.12,104,18,154,50,-1558.48,13
"19","<img src=""http://content.sportslogos.net/logos/7/160/thumbs/1053.gif"" height = 40></img>","Austin Hooper","TE(19)",106.34,-10.75,105,19,196,91,-2107,17
"20","<img src=""http://content.sportslogos.net/logos/7/6446/thumbs/644624152017.gif"" height = 40></img>","Gerald Everett","TE(20)",105.25,-11.84,107,20,168,61,-1989.12,14
"21","<img src=""http://content.sportslogos.net/logos/7/172/thumbs/17227042013.gif"" height = 40></img>","Irv Smith","TE(21)",104.93,-12.16,108,21,153,45,-1860.48,13
"22","<img src=""http://content.sportslogos.net/logos/7/168/thumbs/im5xz2q9bjbg44xep08bf5czq.gif"" height = 40></img>","Logan Thomas","TE(22)",104,-13.09,110,22,150,40,-1963.5,13
"23","<img src=""http://content.sportslogos.net/logos/7/171/thumbs/dcy03myfhffbki5d7il3.gif"" height = 40></img>","Robert Tonyan","TE(23)",100.67,-16.42,114,23,145,31,-2380.9,13
"24","<img src=""http://content.sportslogos.net/logos/7/159/thumbs/15988562013.gif"" height = 40></img>","Evan Engram","TE(24)",97.5,-19.59,121,24,162,41,-3173.58,14
"25","<img src=""http://content.sportslogos.net/logos/7/154/thumbs/403.gif"" height = 40></img>","Hayden Hurst","TE(26)",87.11,-29.98,132,26,258,126,-7734.84,22
"26","<img src=""http://content.sportslogos.net/logos/7/158/thumbs/593.gif"" height = 40></img>","Mo Alie-Cox","TE(27)",79.28,-37.81,143,27,205,62,-7751.05,18
"27","<img src=""http://content.sportslogos.net/logos/7/157/thumbs/570.gif"" height = 40></img>","Brevin Jordan","TE(28)",76.64,-40.45,145,28,190,45,-7685.5,16
"28","<img src=""http://content.sportslogos.net/logos/7/175/thumbs/907.gif"" height = 40></img>","Adam Trautman","TE(30)",70.82,-46.27,153,30,285,132,-13186.95,24
"29","<img src=""http://content.sportslogos.net/logos/7/151/thumbs/y71myf8mlwlk8lbgagh3fd5e0.gif"" height = 40></img>","Jonnu Smith","TE(32)",65.99,-51.1,164,32,236,72,-12059.6,20
"30","<img src=""http://content.sportslogos.net/logos/7/159/thumbs/15988562013.gif"" height = 40></img>","Dan Arnold","TE(37)",56.41,-60.68,181,37,298,117,-18082.64,25
"31","<img src=""http://content.sportslogos.net/logos/7/158/thumbs/593.gif"" height = 40></img>","Jelani Woods","TE(44)",44.68,-72.41,213,44,299,86,-21650.59,25
"32","<img src=""http://content.sportslogos.net/logos/7/177/thumbs/kwth8f1cfa2sch5xhjjfaof90.gif"" height = 40></img>","Trey McBride","TE(51)",34.56,-82.53,229,51,295,66,-24346.35,25
"33","<img src=""http://content.sportslogos.net/logos/7/161/thumbs/9ebzja2zfeigaziee8y605aqp.gif"" height = 40></img>","Greg Dulcich","TE(68)",23.72,-93.37,257,68,269,12,-25116.53,23
