"Player","Pos","PassYds","PassTDs","PassInts","RushYds","RushTDs","Fumbles","Receptions","RecYds","RecTDs","TwoPts","Team"
"Aaron Rodgers","QB",4217.6,33.3,6.7,144.4,1.9,2.1,0,0,0,0,"GB"
"Andy Dalton","QB",460.5,3.2,1.8,15.3,0,0.2,0,0,0,0,"NO"
"Baker Mayfield","QB",3443.4,18.3,13.9,145.2,1.2,3.4,0,0,0,0,"CAR"
"Blaine Gabbert","QB",145.3,1,0.4,3.6,0,0.3,0,0,0,0,"TB"
"Brandon Allen","QB",120.9,0.7,0.5,5.7,0,0.1,0,0,0,0,"CIN"
"Brett Rypien","QB",122,1,0.5,4,0,0,0,0,0,0,"DEN"
"Brian Hoyer","QB",151.4,1.1,0.5,1.7,0,0.1,0,0,0,0,"NE"
"C.J. Beathard","QB",156.1,1.1,0.5,5.8,0,0.7,0,0,0,0,"JAC"
"Carson Wentz","QB",3649.5,22.3,11.5,226.1,1.8,4.7,0,0,0,0,"WAS"
"Case Keenum","QB",134.1,1,0.4,4.1,0,0.1,0,0,0,0,"BUF"
"Chad Henne","QB",131.2,0.8,0.5,4.3,0,0.2,0,0,0,0,"KC"
"Chase Daniel","QB",119.2,0.7,0.5,4.2,0,0.1,0,0,0,0,"LAC"
"Colt McCoy","QB",196.3,1.1,0.7,9.5,0,0.2,0,0,0,0,"ARI"
"Cooper Rush","QB",187.6,1.2,0.5,3,0,0.1,0,0,0,0,"DAL"
"Dak Prescott","QB",4486.9,34,11.2,223.7,2.6,5.5,0,0,0,0,"DAL"
"Daniel Jones","QB",3582.9,20.8,14.9,435.3,2.8,6.1,0,0,0,0,"NYG"
"David Blough","QB",0,0,0,0,0,0,0,0,0,0,"DET"
"Davis Mills","QB",3682,19.8,14.3,120.8,0.9,2.2,0,0,0,0,"HOU"
"Davis Webb","QB",0,0,0,0,0,0,0,0,0,0,"NYG"
"Derek Carr","QB",4491.5,27.6,12.7,136.9,1.2,4.9,0,0,0,0,"LV"
"Deshaun Watson","QB",2365.9,15.5,6.8,298.7,3,2.1,0,0,0,0,"CLE"
"Desmond Ridder","QB",1190.9,6.4,4.7,101.5,0.7,1.1,0,0,0,0,"ATL"
"Drew Lock","QB",1901.5,10.5,7,106.3,1.2,1.9,0,0,0,0,"SEA"
"Easton Stick","QB",0,0,0,0,0,0,0,0,0,0,"LAC"
"Feleipe Franks","QB",0,0,0,0,0,0,0,0,0,0,"ATL"
"Gardner Minshew II","QB",236.5,1.5,0.7,24.4,0.1,0.2,0,0,0,0,"PHI"
"Geno Smith","QB",1887.3,10.6,7,89.6,0.7,2.2,0,0,0,0,"SEA"
"Ian Book","QB",0,0,0,0,0,0,0,0,0,0,"NO"
"Jacob Eason","QB",0,0,0,0,0,0,0,0,0,0,"SEA"
"Jacoby Brissett","QB",1533.1,9.4,5.3,89.3,0.9,2.1,0,0,0,0,"CLE"
"Jake Luton","QB",0,0,0,0,0,0,0,0,0,0,"JAC"
"Jalen Hurts","QB",3552.5,24.5,12.9,741.3,7.9,3.4,0,0,0,0,"PHI"
"Jameis Winston","QB",3321.5,23,11.7,257.5,1.6,3.5,0,0,0,0,"NO"
"Jared Goff","QB",3798.7,24,12.4,96.5,1.1,5.1,0,0,0,0,"DET"
"Jarrett Stidham","QB",139.3,0.8,0.7,4.1,0,0.1,0,0,0,0,"LV"
"Jeff Driskel","QB",0,0,0,0,0,0,0,0,0,0,"HOU"
"Jimmy Garoppolo","QB",250.7,1.7,1,1.7,0,0,0,0,0,0,"SF"
"Joe Burrow","QB",4406.7,30.3,12.1,184.1,2.3,2.3,0,0,0,0,"CIN"
"Joe Flacco","QB",233.8,1.5,0.8,6.8,0,0.7,0,0,0,0,"NYJ"
